batch_size,structural_ratio,sublayer_count,read_load_hz,shadow_index_commit_ms,accumulated_layer_size,n_writes,write_lock_ms_median,write_lock_ms_max,pcp_rebuild_p50_ms,pcp_rebuild_p95_ms,pcp_rebuild_p99_ms,p95_concurrent_read_stall_ms,achieved_reader_hz,n_concurrent_samples,n_post_write_samples,n_total_samples,setup_sec,run_sec
10,0.0,1,60,5,0,5,7.094599997799378,9.234199998900294,0.07154999912017956,0.12123499618610355,0.20713799807708708,3.641740000239224,59.99418174065809,2,150,153,0.08843530000012834,2.9502473000029568
10,0.0,1,60,5,100000,5,134.68090000242228,141.01329999539303,0.5821000013384037,0.8413000003201887,0.9523159969830886,0.6746399998519336,48.694375001664405,10,145,155,0.9313987999994424,3.5831192000041483
10,0.0,1,60,50,0,5,52.34029999701306,53.31339999975171,0.05819999933009967,0.12395000230753782,0.19380399848159824,0.1260500008356757,59.63400119673826,15,150,165,0.0031816999980947003,3.1668779000028735
10,0.0,1,60,50,100000,5,174.24269999901298,178.42810000001919,0.5533500007004477,0.8056149992626159,0.8818300021812315,0.7839499980036634,50.14803108800058,19,150,170,0.9988857999996981,3.789963600000192
10,0.0,20,60,5,0,5,7.0687999977963045,7.302800004254095,0.0594000011915341,0.10416000259283459,0.19278700077848032,1.2254600034793839,59.99921412801679,3,150,153,0.02282730000297306,2.950033399996755
10,0.0,20,60,5,100000,5,134.83449999330333,141.70060000469675,0.5808999994769692,0.8213200009777211,0.9083359976648354,0.5980350008030655,48.62330026667027,10,145,155,0.9814046000028611,3.587772099999711
10,0.0,20,60,50,0,5,52.01949999900535,52.095099999860395,0.06539999958476983,0.1035400018736254,0.21697499592846714,0.12687000053119835,59.633770582502954,15,150,165,0.021454800000356045,3.166888600004313
10,0.0,20,60,50,100000,5,172.08290000417037,186.45000000105938,0.5362000010791235,0.7690499987802468,0.9045999977388419,0.8305199960886965,50.10376785048074,19,151,170,0.9101336000021547,3.7929584000012255
10,1.0,1,60,5,0,5,7.1559999996679835,7.629599997017067,0.050199996621813625,0.08203000215871724,0.12609100296685935,1.5799600012542212,59.98659358443494,3,150,153,0.0031210999950417317,2.9505699000001187
10,1.0,1,60,5,100000,5,132.86770000559045,152.4887999985367,0.5687000011675991,0.823960000707302,0.914884002704639,0.614299999870127,48.31023875360589,10,145,155,0.9005986000047415,3.60842959999718
10,1.0,1,60,50,0,5,52.14890000206651,53.08549999608658,0.047900000936351717,0.10119500184373459,0.1695830024254973,0.11421999879530627,59.62735074048917,15,150,165,0.0033194999996339902,3.167186500002572
10,1.0,1,60,50,100000,5,177.2156000006362,183.60479999682866,0.5737999999837484,0.8332300032634521,0.9264669988624517,0.7623450033861445,49.84896642858676,20,150,170,0.9100087999977404,3.8103014000007533
