batch_size,structural_ratio,sublayer_count,read_load_hz,shadow_index_commit_ms,accumulated_layer_size,n_writes,write_lock_ms_median,write_lock_ms_max,pcp_rebuild_p50_ms,pcp_rebuild_p95_ms,pcp_rebuild_p99_ms,p95_concurrent_read_stall_ms,achieved_reader_hz,n_concurrent_samples,n_post_write_samples,n_total_samples,setup_sec,run_sec
10,0.0,1,60,5,0,5,7.009500004642177,8.613099998910911,0.049250000301981345,0.08652999931655354,0.10807299688167402,5.090300001029391,59.597783966184245,1,150,152,0.08438690000184579,2.9504304000001866
10,0.0,1,60,5,100000,5,125.33640000037849,131.98830000328599,0.48779999633552507,0.7543799991253763,0.7951880022301339,127.54214000306092,47.889013953756674,5,145,150,0.8555223000003025,3.5322423999969033
10,0.0,1,60,50,0,5,52.18089999834774,52.57690000144066,0.04079999780515209,0.07612000481458371,0.11881600337801512,52.151059998141136,54.69259791460736,5,145,152,0.0030960000003688037,3.1791694999992615
10,0.0,1,60,50,100000,5,171.38149999664165,175.07130000012694,0.5057000016677193,0.7903400022769346,0.8875000011175873,169.6951199992327,44.624507970159364,5,145,150,0.9329858999990392,3.7613816000011866
10,0.0,20,60,5,0,5,7.021999997959938,7.1276000016951,0.04930000068270601,0.08241000032285221,0.13674499910848617,4.480674998194445,59.600106809664965,2,150,152,0.02142979999916861,2.9503310000000056
10,0.0,20,60,5,100000,5,129.59370000316994,132.8635000027134,0.5214000047999434,0.7721000001765786,0.9316960003343412,129.3251000024611,47.879660339741235,5,145,151,0.9205129000038141,3.5537400000030175
10,0.0,20,60,50,0,5,51.952299996628426,53.13440000463743,0.04890000127488747,0.09420000278623768,0.14357999869389465,51.4302800031146,55.01402731025369,5,145,152,0.02102790000208188,3.1629316999969888
10,0.0,20,60,50,100000,5,175.01439999614377,179.50610000116285,0.556999999389518,0.8222800039220601,0.89363599952776,171.0362600031658,44.34667284215448,5,145,150,0.9064900999946985,3.782440899994981
10,1.0,1,60,5,0,5,7.1090999990701675,7.931499996630009,0.05310000415192917,0.09253999742213632,0.11906599669600831,5.059255003288854,59.603633484539166,2,150,152,0.0029733000046689995,2.95018010000058
10,1.0,1,60,5,100000,5,134.34920000145212,135.56940000125905,0.5261000042082742,0.7552600029157475,0.8154599988483824,130.7314999998198,47.364377630450726,5,145,150,0.8696323000040138,3.566937000003236
10,1.0,1,60,50,0,5,51.74070000066422,52.91719999513589,0.04769999941345304,0.08004000410437584,0.11993600171990695,47.38103999843588,55.425076687230934,5,145,154,0.003041800002392847,3.178525700001046
10,1.0,1,60,50,100000,5,179.3171999961487,181.30050000036135,0.5445999995572492,0.7903800011263227,0.8642879987019115,176.46286000381224,44.192197997090226,5,145,150,0.8718087000015657,3.7942642999987584
10,1.0,20,60,5,0,5,7.039200005237944,7.963599993672688,0.041650000639492646,0.0894999968295451,0.11134199980006083,6.041180002648616,59.59495894091396,2,150,152,0.021611600001051556,2.9505512999967323
10,1.0,20,60,5,100000,5,130.10109999595443,131.41370000084862,0.5252999981166795,0.7503800050471909,0.901351997454185,126.37529999919934,47.56796264738544,5,145,150,0.9109403999973438,3.553382899997814
10,1.0,20,60,50,0,5,52.1669000008842,52.334799998789094,0.039500002458225936,0.08195999980671323,0.13582000246969989,47.61125999939395,55.346881333489456,5,145,153,0.021445400001539383,3.164383399998769
10,1.0,20,60,50,100000,5,173.56590000417782,180.49020000034943,0.5354000022634864,0.8166399988112971,0.8648280001943931,174.77803999645403,44.390231805124145,5,145,150,0.9013854000004358,3.7791218000056688
1000,0.0,1,60,5,0,5,25.84229999774834,31.328500001109205,0.06159999975352548,0.1575649996084394,0.24391299957642337,19.022819997917395,58.48067583912302,5,148,154,0.0028568999987328425,3.0333485000010114
1000,0.0,1,60,5,100000,5,151.61459999944782,161.8259999959264,0.5350999999791384,0.8342200031620443,0.9255399985704572,152.1714600006817,45.95997847968359,5,145,150,0.8807018000006792,3.6637091000011424
1000,0.0,1,60,50,0,5,71.1754000003566,75.8475999973598,0.08060000254772604,0.2061799998045899,0.27366000023903336,62.07045999763068,53.591788196752915,5,145,153,0.0029429999995045364,3.254915000004985
1000,0.0,1,60,50,100000,5,205.47909999731928,221.13910000189207,0.563900000997819,0.8470800050417893,1.0366279984009454,211.18753999908222,42.29812837553037,5,145,150,0.9512590000013006,3.9462561999971513
1000,0.0,20,60,5,0,5,25.168699998175725,32.860499995877035,0.06824999945820309,0.16737499645387288,0.20950999794877137,23.29246000153944,58.478099856585054,5,148,154,0.02309880000393605,3.0334645000039018
1000,0.0,20,60,5,100000,5,160.766799999692,167.08569999900647,0.5374999964260496,0.8275600019260305,0.8918239988270217,158.55214000184787,45.45857887025297,5,145,150,0.9468248999983189,3.699707200001285
