iteration,writer_exception,reader_exception,assertions_ok,save_ms,traverse_latency_ms,prims_traversed
185,,,True,80.03,60.47,26860
186,,,True,87.38,61.23,26870
187,,,True,69.94,62.08,26880
188,,,True,81.97,54.91,26890
189,,,True,85.71,56.0,26900
190,,,True,69.55,63.5,26910
191,,,True,70.29,60.58,26920
192,,,True,68.42,57.97,26930
193,,,True,73.37,56.2,26940
194,,,True,79.19,56.64,26950
195,,,True,95.48,58.18,26960
196,,,True,112.5,61.19,26970
197,,,True,81.02,56.51,26980
198,,,True,70.66,59.19,26990
199,,,True,70.76,57.86,27000
200,,,True,92.68,64.14,27010
201,,,True,77.92,63.62,27020
202,,,True,73.5,61.67,27030
203,,,True,81.47,61.1,27040
204,,,True,61.82,63.3,27050
205,,,True,81.52,62.5,27060
206,,,True,77.92,61.15,27070
207,,,True,74.51,59.36,27080
208,,,True,76.24,60.89,27090
209,,,True,90.78,58.59,27100
210,,,True,70.57,61.12,27110
211,,,True,71.9,55.82,27120
212,,,True,90.37,59.57,27130
213,,,True,72.69,64.5,27140
214,,,True,82.29,61.81,27150
215,,,True,81.16,61.58,27160
216,,,True,79.27,64.31,27170
217,,,True,73.04,58.7,27180
218,,,True,70.37,58.94,27190
219,,,True,72.5,56.97,27200
220,,,True,72.89,62.01,27210
221,,,True,72.51,51.31,27220
222,,,True,75.66,53.78,27230
223,,,True,95.07,55.03,27240
224,,,True,82.09,54.83,27250
225,,,True,69.6,58.23,27260
226,,,True,69.89,60.02,27270
227,,,True,113.7,58.57,27280
228,,,True,78.94,59.65,27290
229,,,True,75.33,59.93,27300
230,,,True,71.83,60.15,27310
231,,,True,71.25,54.89,27320
232,,,True,76.65,59.45,27330
233,,,True,72.49,63.29,27340
234,,,True,66.01,57.29,27350
235,,,True,73.23,54.98,27360
236,,,True,74.92,61.64,27370
237,,,True,88.59,57.72,27380
238,,,True,55.77,50.47,27390
239,,,True,78.3,57.28,27400
240,,,True,66.56,60.37,27410
241,,,True,82.28,58.25,27420
242,,,True,48.8,52.36,27430
243,,,True,44.44,63.32,27440
244,,,True,79.0,64.52,27450
245,,,True,111.23,62.34,27460
246,,,True,92.74,61.68,27470
247,,,True,107.74,54.64,27480
248,,,True,81.26,58.5,27490
249,,,True,76.9,63.21,27500
250,,,True,90.45,63.08,27510
251,,,True,86.14,60.2,27520
252,,,True,73.75,63.37,27530
253,,,True,79.97,62.34,27540
254,,,True,87.9,58.81,27550
255,,,True,102.31,57.55,27560
256,,,True,72.17,65.9,27570
257,,,True,92.61,62.54,27580
258,,,True,66.95,63.76,27590
259,,,True,78.34,63.91,27600
260,,,True,71.15,60.54,27610
261,,,True,79.42,59.72,27620
262,,,True,89.33,60.41,27630
263,,,True,71.6,63.11,27640
264,,,True,111.85,61.14,27650
265,,,True,78.01,58.59,27660
266,,,True,91.31,61.68,27670
267,,,True,72.28,64.54,27680
268,,,True,96.7,59.73,27690
269,,,True,91.46,63.67,27700
270,,,True,114.89,57.44,27710
271,,,True,81.14,62.07,27720
272,,,True,76.65,62.03,27730
273,,,True,70.43,59.79,27740
274,,,True,68.45,64.98,27750
275,,,True,79.0,63.31,27760
276,,,True,116.88,59.79,27770
277,,,True,72.11,59.64,27780
278,,,True,83.35,62.35,27790
279,,,True,74.57,58.62,27800
280,,,True,70.95,64.01,27810
281,,,True,96.18,58.12,27820
282,,,True,80.37,67.58,27830
283,,,True,86.61,65.48,27840
284,,,True,73.98,63.59,27850
285,,,True,80.09,60.84,27860
286,,,True,75.85,65.27,27870
287,,,True,82.67,64.6,27880
288,,,True,104.08,64.54,27890
289,,,True,86.94,61.98,27900
290,,,True,81.13,65.91,27910
291,,,True,88.01,65.14,27920
292,,,True,93.87,64.88,27930
293,,,True,84.88,49.56,27940
294,,,True,61.56,62.98,27950
295,,,True,78.45,63.71,27960
296,,,True,89.12,59.24,27970
297,,,True,65.55,55.33,27980
298,,,True,82.21,47.16,27990
299,,,True,71.33,64.54,28000
300,,,True,77.45,57.59,28010
301,,,True,76.04,56.23,28020
302,,,True,75.07,59.77,28030
303,,,True,86.24,64.54,28040
304,,,True,80.1,63.42,28050
305,,,True,73.39,64.15,28060
306,,,True,111.29,61.08,28070
307,,,True,90.02,64.49,28080
308,,,True,72.63,48.01,28090
309,,,True,80.04,45.61,28100
310,,,True,74.12,54.69,28110
311,,,True,89.05,63.94,28120
312,,,True,75.6,58.47,28130
313,,,True,75.2,54.13,28140
314,,,True,90.61,67.24,28150
315,,,True,85.63,61.63,28160
316,,,True,71.26,58.49,28170
317,,,True,74.53,53.16,28180
318,,,True,73.23,60.65,28190
319,,,True,72.74,59.45,28200
320,,,True,84.64,57.18,28210
321,,,True,67.7,52.81,28220
322,,,True,73.31,60.15,28230
323,,,True,90.65,60.0,28240
324,,,True,78.96,53.63,28250
325,,,True,78.12,63.7,28260
326,,,True,82.92,67.39,28270
327,,,True,75.77,62.27,28280
328,,,True,66.35,56.18,28290
329,,,True,86.68,54.71,28300
330,,,True,83.05,66.78,28310
331,,,True,84.17,71.56,28320
332,,,True,65.58,64.61,28330
333,,,True,85.97,64.0,28340
334,,,True,88.04,64.88,28350
335,,,True,66.57,61.52,28360
336,,,True,84.32,58.09,28370
337,,,True,75.59,59.34,28380
338,,,True,70.82,47.83,28390
339,,,True,53.86,50.35,28400
340,,,True,49.33,46.0,28410
341,,,True,50.88,46.98,28420
342,,,True,76.6,45.18,28430
343,,,True,65.31,44.47,28440
344,,,True,65.42,44.11,28450
345,,,True,61.77,47.41,28460
346,,,True,57.01,45.06,28470
347,,,True,74.77,43.8,28480
348,,,True,59.94,44.51,28490
349,,,True,44.06,45.04,28500
350,,,True,48.54,46.44,28510
351,,,True,48.97,46.61,28520
352,,,True,64.9,44.72,28530
353,,,True,52.68,55.86,28540
354,,,True,76.77,70.49,28550
355,,,True,88.95,69.64,28560
356,,,True,96.68,66.77,28570
357,,,True,75.99,52.24,28580
358,,,True,78.4,55.74,28590
359,,,True,70.57,50.48,28600
360,,,True,91.78,68.67,28610
361,,,True,84.4,54.26,28620
362,,,True,90.28,57.88,28630
363,,,True,76.36,70.34,28640
364,,,True,88.92,65.67,28650
365,,,True,99.82,65.3,28660
366,,,True,82.74,64.81,28670
367,,,True,86.58,72.33,28680
368,,,True,79.07,64.07,28690
369,,,True,82.76,62.18,28700
370,,,True,91.72,60.88,28710
371,,,True,76.63,59.37,28720
372,,,True,98.32,64.0,28730
373,,,True,88.97,67.23,28740
374,,,True,89.23,69.19,28750
375,,,True,102.21,63.46,28760
376,,,True,74.74,61.82,28770
377,,,True,80.39,61.45,28780
378,,,True,72.41,62.06,28790
379,,,True,58.91,67.87,28800
380,,,True,75.8,68.06,28810
381,,,True,72.43,70.65,28820
382,,,True,87.53,71.01,28830
383,,,True,85.09,57.36,28840
384,,,True,65.26,51.76,28850
385,,,True,104.1,60.47,28860
386,,,True,78.32,67.37,28870
387,,,True,79.69,62.83,28880
388,,,True,83.02,68.64,28890
389,,,True,101.79,66.13,28900
390,,,True,117.6,59.93,28910
391,,,True,78.58,67.21,28920
392,,,True,89.44,65.45,28930
393,,,True,76.77,67.32,28940
394,,,True,78.16,64.84,28950
395,,,True,83.29,57.85,28960
396,,,True,79.14,64.12,28970
397,,,True,82.7,70.07,28980
398,,,True,82.52,62.79,28990
399,,,True,93.2,124.2,29000
400,,,True,87.25,61.37,29010
401,,,True,92.45,67.25,29020
402,,,True,102.7,67.74,29030
403,,,True,88.47,60.96,29040
404,,,True,72.31,57.01,29050
405,,,True,76.34,134.86,29060
406,,,True,91.44,67.81,29070
407,,,True,90.35,69.33,29080
408,,,True,119.47,66.87,29090
409,,,True,86.57,69.76,29100
410,,,True,70.19,61.63,29110
411,,,True,91.01,68.14,29120
412,,,True,85.03,68.36,29130
413,,,True,95.35,70.3,29140
414,,,True,84.81,56.29,29150
415,,,True,80.85,67.86,29160
416,,,True,81.55,69.97,29170
417,,,True,113.01,60.33,29180
418,,,True,99.62,66.93,29190
419,,,True,71.06,66.04,29200
420,,,True,70.56,64.1,29210
421,,,True,94.94,61.35,29220
422,,,True,94.44,68.07,29230
423,,,True,74.66,64.66,29240
424,,,True,109.05,66.22,29250
425,,,True,88.99,67.47,29260
426,,,True,81.94,69.89,29270
427,,,True,78.2,68.27,29280
428,,,True,76.69,70.83,29290
429,,,True,103.88,69.36,29300
430,,,True,83.93,63.3,29310
431,,,True,87.22,70.99,29320
432,,,True,95.62,65.9,29330
433,,,True,77.95,62.8,29340
434,,,True,82.91,69.6,29350
435,,,True,78.82,64.32,29360
436,,,True,86.27,70.3,29370
437,,,True,86.41,60.65,29380
438,,,True,73.31,69.11,29390
439,,,True,109.66,65.65,29400
440,,,True,78.96,58.02,29410
441,,,True,89.83,74.82,29420
442,,,True,77.93,65.32,29430
443,,,True,61.22,64.26,29440
444,,,True,78.45,60.79,29450
445,,,True,66.69,64.65,29460
446,,,True,79.52,50.31,29470
447,,,True,80.13,68.0,29480
448,,,True,89.7,64.62,29490
449,,,True,76.0,70.53,29500
450,,,True,90.82,76.15,29510
451,,,True,88.58,73.89,29520
452,,,True,103.04,71.35,29530
453,,,True,97.26,70.44,29540
454,,,True,89.55,67.64,29550
455,,,True,75.87,72.34,29560
456,,,True,85.54,64.97,29570
457,,,True,101.15,74.42,29580
458,,,True,106.37,69.67,29590
459,,,True,84.98,67.86,29600
460,,,True,74.64,63.27,29610
461,,,True,79.42,73.32,29620
462,,,True,76.43,67.42,29630
463,,,True,75.44,58.79,29640
464,,,True,92.59,63.63,29650
465,,,True,104.02,66.55,29660
466,,,True,80.68,72.01,29670
467,,,True,91.34,59.55,29680
468,,,True,76.68,68.69,29690
469,,,True,78.35,55.49,29700
470,,,True,65.65,62.68,29710
471,,,True,80.55,71.4,29720
472,,,True,83.89,55.99,29730
473,,,True,88.0,63.47,29740
474,,,True,94.83,70.29,29750
475,,,True,84.97,75.07,29760
476,,,True,90.12,71.95,29770
477,,,True,96.52,66.78,29780
478,,,True,101.77,66.49,29790
479,,,True,107.26,60.58,29800
480,,,True,78.36,58.22,29810
481,,,True,71.15,71.6,29820
482,,,True,90.79,75.6,29830
483,,,True,73.1,70.95,29840
484,,,True,90.39,71.92,29850
485,,,True,86.1,63.31,29860
486,,,True,96.38,71.4,29870
487,,,True,99.79,71.32,29880
488,,,True,79.09,59.48,29890
489,,,True,79.33,67.79,29900
490,,,True,73.55,68.59,29910
491,,,True,97.9,68.11,29920
492,,,True,89.31,72.74,29930
493,,,True,83.37,68.91,29940
494,,,True,82.81,69.42,29950
495,,,True,107.38,66.91,29960
496,,,True,104.11,73.86,29970
497,,,True,80.55,68.07,29980
498,,,True,84.48,70.04,29990
499,,,True,88.98,69.27,30000
500,,,True,85.39,69.48,30010
501,,,True,85.37,70.62,30020
502,,,True,78.52,73.09,30030
503,,,True,101.53,64.41,30040
504,,,True,84.06,66.32,30050
505,,,True,94.54,77.47,30060
506,,,True,90.88,66.94,30070
507,,,True,97.91,61.23,30080
508,,,True,80.91,72.76,30090
509,,,True,99.75,64.92,30100
510,,,True,67.57,60.89,30110
511,,,True,81.55,72.82,30120
512,,,True,80.31,68.07,30130
513,,,True,97.81,73.14,30140
514,,,True,93.38,71.75,30150
515,,,True,100.12,65.49,30160
516,,,True,105.57,73.17,30170
517,,,True,89.93,61.91,30180
518,,,True,116.55,65.84,30190
519,,,True,93.95,63.57,30200
520,,,True,80.35,71.69,30210
521,,,True,104.7,70.43,30220
522,,,True,84.79,77.92,30230
523,,,True,81.26,63.49,30240
524,,,True,78.31,72.67,30250
525,,,True,100.42,64.7,30260
526,,,True,90.76,63.07,30270
527,,,True,78.51,80.15,30280
528,,,True,83.95,76.32,30290
529,,,True,79.44,68.04,30300
530,,,True,73.25,72.37,30310
531,,,True,100.95,74.87,30320
532,,,True,92.92,64.73,30330
533,,,True,84.74,69.5,30340
534,,,True,100.19,72.18,30350
535,,,True,84.38,75.3,30360
536,,,True,100.63,62.06,30370
537,,,True,82.61,72.36,30380
538,,,True,97.05,72.47,30390
539,,,True,81.04,75.5,30400
540,,,True,83.0,68.89,30410
541,,,True,80.82,63.25,30420
542,,,True,88.62,65.77,30430
543,,,True,90.21,64.28,30440
544,,,True,92.4,66.54,30450
545,,,True,86.84,69.07,30460
546,,,True,78.47,66.06,30470
547,,,True,97.85,64.2,30480
548,,,True,90.68,68.41,30490
549,,,True,113.03,72.96,30500
550,,,True,90.87,71.41,30510
551,,,True,95.6,68.18,30520
552,,,True,88.19,69.4,30530
553,,,True,81.09,67.42,30540
554,,,True,87.98,72.4,30550
555,,,True,89.43,82.33,30560
556,,,True,108.4,78.55,30570
557,,,True,101.57,82.94,30580
558,,,True,93.05,81.04,30590
559,,,True,97.84,74.31,30600
560,,,True,78.67,76.5,30610
561,,,True,97.76,69.6,30620
562,,,True,84.68,66.38,30630
563,,,True,93.5,69.35,30640
564,,,True,96.94,62.5,30650
565,,,True,123.34,77.09,30660
566,,,True,92.32,71.44,30670
567,,,True,75.51,69.46,30680
568,,,True,98.91,69.51,30690
569,,,True,80.25,62.46,30700
570,,,True,117.03,67.95,30710
571,,,True,86.69,70.26,30720
572,,,True,82.19,78.5,30730
573,,,True,127.14,67.59,30740
574,,,True,88.97,56.63,30750
575,,,True,90.96,62.07,30760
576,,,True,71.25,73.29,30770
577,,,True,94.55,64.37,30780
578,,,True,80.92,72.37,30790
579,,,True,92.67,69.86,30800
580,,,True,87.53,61.66,30810
581,,,True,76.99,73.69,30820
582,,,True,89.68,71.21,30830
583,,,True,99.75,78.35,30840
584,,,True,92.68,73.95,30850
585,,,True,96.3,67.16,30860
586,,,True,89.54,75.58,30870
587,,,True,114.42,78.34,30880
588,,,True,87.2,70.83,30890
589,,,True,97.47,74.86,30900
590,,,True,98.9,69.15,30910
591,,,True,85.52,75.55,30920
592,,,True,97.72,80.07,30930
593,,,True,117.15,74.54,30940
594,,,True,105.53,63.1,30950
595,,,True,67.51,75.23,30960
596,,,True,111.5,74.8,30970
597,,,True,77.79,74.53,30980
598,,,True,117.52,83.54,30990
599,,,True,88.14,81.38,31000
600,,,True,92.03,65.57,31010
601,,,True,98.49,74.04,31020
602,,,True,84.1,77.57,31030
603,,,True,101.52,72.23,31040
604,,,True,83.71,76.66,31050
605,,,True,99.81,77.2,31060
606,,,True,89.34,72.38,31070
607,,,True,101.87,73.95,31080
608,,,True,87.26,75.36,31090
609,,,True,86.03,79.27,31100
610,,,True,111.08,71.57,31110
611,,,True,113.18,77.8,31120
612,,,True,93.93,78.32,31130
613,,,True,84.75,73.86,31140
614,,,True,115.84,65.34,31150
615,,,True,74.45,68.85,31160
616,,,True,78.87,81.48,31170
617,,,True,82.39,63.3,31180
618,,,True,104.34,85.8,31190
619,,,True,85.54,77.04,31200
620,,,True,98.24,81.57,31210
621,,,True,114.57,83.25,31220
622,,,True,83.15,69.44,31230
623,,,True,80.94,65.94,31240
624,,,True,104.39,72.64,31250
625,,,True,78.89,78.42,31260
626,,,True,101.07,82.34,31270
627,,,True,77.0,61.89,31280
628,,,True,88.56,63.33,31290
629,,,True,88.69,64.51,31300
630,,,True,98.36,66.78,31310
631,,,True,94.91,62.7,31320
632,,,True,74.31,78.81,31330
633,,,True,80.9,79.86,31340
634,,,True,78.88,81.24,31350
635,,,True,111.23,77.29,31360
636,,,True,87.96,70.75,31370
637,,,True,93.45,66.72,31380
638,,,True,110.7,67.24,31390
639,,,True,111.8,85.28,31400
640,,,True,77.03,75.99,31410
641,,,True,84.49,69.27,31420
642,,,True,81.47,65.01,31430
643,,,True,111.05,72.55,31440
644,,,True,91.16,75.94,31450
645,,,True,101.68,69.25,31460
646,,,True,102.01,74.78,31470
647,,,True,97.74,83.63,31480
648,,,True,87.88,73.94,31490
649,,,True,102.42,74.97,31500
650,,,True,95.59,86.27,31510
651,,,True,96.12,77.84,31520
652,,,True,85.68,81.16,31530
653,,,True,107.93,84.64,31540
654,,,True,90.3,71.26,31550
655,,,True,109.18,78.95,31560
656,,,True,82.84,74.82,31570
657,,,True,83.27,82.13,31580
658,,,True,95.11,72.72,31590
659,,,True,108.67,79.09,31600
660,,,True,96.38,79.98,31610
661,,,True,100.86,80.78,31620
662,,,True,87.47,77.18,31630
663,,,True,98.75,85.59,31640
664,,,True,101.26,80.72,31650
665,,,True,90.33,76.48,31660
666,,,True,99.97,78.03,31670
667,,,True,121.84,84.9,31680
668,,,True,88.58,78.18,31690
669,,,True,84.46,79.47,31700
670,,,True,93.14,68.11,31710
671,,,True,112.42,83.53,31720
672,,,True,108.77,79.66,31730
673,,,True,84.08,73.39,31740
674,,,True,108.06,82.76,31750
675,,,True,82.96,86.77,31760
676,,,True,116.54,80.46,31770
677,,,True,113.77,84.39,31780
678,,,True,95.41,80.28,31790
679,,,True,101.43,75.74,31800
680,,,True,102.87,72.51,31810
681,,,True,97.6,75.45,31820
682,,,True,93.11,78.97,31830
683,,,True,100.29,80.95,31840
684,,,True,104.4,81.84,31850
685,,,True,104.71,80.92,31860
686,,,True,84.36,76.1,31870
687,,,True,117.04,81.89,31880
688,,,True,101.4,75.58,31890
689,,,True,93.77,76.46,31900
690,,,True,99.62,83.34,31910
691,,,True,95.71,77.84,31920
692,,,True,113.31,79.29,31930
693,,,True,97.31,75.83,31940
694,,,True,103.3,72.68,31950
695,,,True,112.25,82.22,31960
696,,,True,83.5,81.46,31970
697,,,True,95.49,83.93,31980
698,,,True,97.95,64.06,31990
699,,,True,91.81,87.65,32000
700,,,True,96.17,85.72,32010
701,,,True,111.31,82.29,32020
702,,,True,110.93,78.08,32030
703,,,True,95.88,85.38,32040
704,,,True,89.94,83.81,32050
705,,,True,106.02,75.42,32060
706,,,True,102.26,77.3,32070
707,,,True,106.07,81.42,32080
708,,,True,90.44,80.75,32090
709,,,True,112.19,88.95,32100
710,,,True,113.67,84.09,32110
711,,,True,96.45,83.65,32120
712,,,True,95.51,80.18,32130
713,,,True,114.04,80.06,32140
714,,,True,104.35,81.88,32150
715,,,True,105.88,79.01,32160
716,,,True,90.4,81.67,32170
717,,,True,93.71,89.05,32180
718,,,True,107.92,85.46,32190
719,,,True,103.54,83.35,32200
720,,,True,100.63,76.58,32210
721,,,True,82.65,75.78,32220
722,,,True,100.21,82.58,32230
723,,,True,115.84,86.64,32240
724,,,True,93.24,75.46,32250
725,,,True,98.75,78.5,32260
726,,,True,99.21,80.57,32270
727,,,True,100.6,80.23,32280
728,,,True,101.54,79.61,32290
729,,,True,108.08,76.68,32300
730,,,True,93.74,82.23,32310
731,,,True,91.03,86.82,32320
732,,,True,102.33,80.65,32330
733,,,True,98.54,82.78,32340
734,,,True,108.32,75.26,32350
735,,,True,105.79,85.83,32360
736,,,True,86.01,85.48,32370
737,,,True,108.37,81.6,32380
738,,,True,93.74,85.45,32390
